date_found,title,company,location,source,url
2026-06-16,"Business Development Manager Infrastruktur, 100%",Saint Gobain Schweiz,Switzerland,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/4a51eb62-3d06-437a-8a70-194c724c4f6d
2026-06-16,Research Scientist in Machine Perception (80 -100%),ABB Schweiz AG,"Baden-Daettwil, Aargau, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/dcd1137e-0d79-4945-a13c-fda36a08b2c3
2026-06-16,Head of Product - Consumer (Private Customer) (f|m|d) | 100% | Hybrid working model | Zurich Switzerland,SMG Swiss Marketplace Group,Switzerland,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/e4afae49-fa88-4b01-adad-2363f5990c87
2026-06-16,Vice President Business Development - Middle East,SR Technics Switzerland AG,"Zürich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/1481305f-58fa-45bf-ac32-acbb580d0fed
2026-06-16,Cybersecurity Business Development Manager D-CH,ELCA Security SA,Switzerland,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/7611996a-66a2-4e5d-8493-12b5234e8d58
2026-06-16,Named Account Manager - Retail & CG (Consumer Goods),salesforce.com Sàrl,Switzerland - Zurich,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/bc0d2bb9-5573-4da2-86f8-ce424ad1d623
2026-06-16,Territory Sales Manager 80 – 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/32b4f7fe-52e3-40b9-a631-59bd1f283719
2026-06-16,Working Student (x|f|m),Sartorius Stedim Switzerland AG,,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/0c1cfb78-2bf7-4029-a0cc-b8a91ea7830f
2026-06-16,Project Manager - Environmental Remediation / Contaminated Sites,ERM Swiss GmbH,"Lausanne, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/ff31274f-59e3-4c1f-b0dd-b69184e4f1d8
2026-06-16,Service Project & Tender Specialist 80 – 100% (f/m/d),Hitachi Energy AG,"Turgi, Aargau, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/0a05e76b-0985-4dd3-87f4-3d9175daa2c7
2026-06-16,Service Sales Engineer – Transformer Service (Traction/Rail) 80 - 100% (f/m/d),Hitachi Energy AG,"Satigny, Geneva, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/b2dc5b37-5212-4ea3-b563-be2643a61dc1
2026-06-16,Account Manager - Switzerland,Agilent Technologies (Schweiz) AG,Switzerland-Basel,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/4056f76a-0938-4010-b43b-7f131f2ece00
2026-06-16,Marketing Cloud Account Executive,salesforce.com Sàrl,Switzerland - Zurich,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/76afa31f-e54f-4912-99ff-a6ac9cea24dc
2026-06-16,Internship Application Development 80 - 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/61d3dd89-eaff-4dcc-b9b7-2b08c0d7e8c2
2026-06-16,Internship in Low-Code Development 80 - 100% (f/m(d),Hitachi Energy AG,"Dietlikon, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/bf373b79-6d8c-4c0b-beef-d480605b70fe
2026-06-16,R&D Designer 60% -100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/eb1e2c55-49fa-4372-bcfd-5e08f956b87d
2026-06-16,Global Engineering Manager - Grid & Power Quality Solutions and Service,Hitachi Energy AG,,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/a0231176-a1b6-4f86-95af-ba4bd4267bdd
2026-06-16,IoT Data Engineer,Sensirion AG,"Stäfa, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/b795334d-944a-4536-b969-c9f4bf87668b
2026-06-16,(Senior) Financial Analyst,Abbott AG,Switzerland : Technoparkstrass 1 CH 8005,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/5b751f31-f64c-47be-85e8-731893f4f640
2026-06-16,Functional Lead Secondary Engineering Standardization Team 80 - 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/1bd99171-7755-420d-ae10-0aad1b9bf842
2026-06-16,Marketing Trainee,Swibeco AG,"Lausanne, Waadt, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/9d3f6b3d-8e94-4e58-9c54-694f9db91205
2026-06-16,Internship in Digital Media Tracking 80 - 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/fef9024a-a85f-451f-bdad-bece70b5715c
2026-06-16,Improvement Project Manager – Data & Digital Analytics 80 – 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/e519db1d-4d90-4cd9-86ef-207e574bd548
2026-06-16,Internship in IT Onsite Support 80 - 100% (f/m/d),Hitachi Energy AG,"Baden, Aargau, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/9a77c54c-fdf6-4004-b6d5-b57462d218c5
2026-06-16,Production Controller 80 - 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/7b1a971b-50a1-41da-9b11-e10ae50af267
2026-06-16,Senior Trademark Counsel,Abbott AG,Switzerland &gt; Allschwil : H-127,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/53ab1fe0-9943-4f79-b255-922cd5756dd8
2026-06-16,ECS Account Executive,salesforce.com Sàrl,Switzerland - Zurich,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/9a399eaa-b558-4562-b057-89c29757c221
2026-06-16,"Lead Health Systems Integrations Manager, International",Exact Sciences International Sàrl,Switzerland - Zug,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/ee1716cf-4f51-484a-9948-f5498c9bd8c3
2026-06-16,Category Manager Apple/Mobile (m/w/d),TD SYNNEX Switzerland GmbH,"Rotkreuz, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/83432ecd-3dd3-4a98-9663-6f678ad52a5e
2026-06-16,Global Medical Director Cardiometabolic,Abbott AG,Switzerland &gt; Allschwil : H-127,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/9e624f50-f1d8-4017-b805-17a8f78d7acd
2026-06-16,Finance and Administration Manager,Fairmont Grand Hôtel Geneva,"Hotel Rotary Geneva - MGallery, Geneva, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/0996602f-337e-48a0-a447-50bc3dbec7b2
2026-06-16,Data360 & Agentforce Architects,salesforce.com Sàrl,Switzerland - Zurich,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/4f41c31f-ee22-425d-8ea5-9469a703e656
