date_found,title,company,location,source,url,score,matched_keywords,warning_keywords,short_reason,hard_filter_status,hard_filter_reason,hard_filter_category,minimum_score_to_export
2026-06-16,Internship Application Development 80 - 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/61d3dd89-eaff-4dcc-b9b7-2b08c0d7e8c2,97,"business development, intern, internship, switzerland, zurich",,role fit; strong keyword match; target location; junior/internship fit,keep,career-level keyword: internship,career_level,37
2026-06-16,Internship in Low-Code Development 80 - 100% (f/m(d),Hitachi Energy AG,"Dietlikon, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/bf373b79-6d8c-4c0b-beef-d480605b70fe,97,"business development, intern, internship, switzerland, zurich",,role fit; strong keyword match; target location; junior/internship fit,keep,career-level keyword: internship,career_level,37
2026-06-16,Working Student (x|f|m),Sartorius Stedim Switzerland AG,,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/0c1cfb78-2bf7-4029-a0cc-b8a91ea7830f,85,"business development, switzerland, working student",,role fit; strong keyword match; target location; junior/internship fit,keep,career-level keyword: working student,career_level,37
2026-06-16,Marketing Cloud Account Executive,salesforce.com Sàrl,Switzerland - Zurich,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/76afa31f-e54f-4912-99ff-a6ac9cea24dc,64,"business development, marketing, sales, switzerland, zurich",,role fit; strong keyword match; target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Internship in Digital Media Tracking 80 - 100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/fef9024a-a85f-451f-bdad-bece70b5715c,63,"intern, internship, marketing, switzerland, zurich",,strong keyword match; target location; junior/internship fit,keep,career-level keyword: internship,career_level,37
2026-06-16,Internship in IT Onsite Support 80 - 100% (f/m/d),Hitachi Energy AG,"Baden, Aargau, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/9a77c54c-fdf6-4004-b6d5-b57462d218c5,63,"intern, internship, marketing, switzerland",,strong keyword match; target location; junior/internship fit,keep,career-level keyword: internship,career_level,37
2026-06-16,Research Scientist in Machine Perception (80 -100%),ABB Schweiz AG,"Baden-Daettwil, Aargau, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/dcd1137e-0d79-4945-a13c-fda36a08b2c3,56,"business development, switzerland",,role fit; strong keyword match; target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Service Project & Tender Specialist 80 – 100% (f/m/d),Hitachi Energy AG,"Turgi, Aargau, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/0a05e76b-0985-4dd3-87f4-3d9175daa2c7,56,"business development, switzerland",,role fit; strong keyword match; target location,exclude,missing early-career keyword,career_level,37
2026-06-16,R&D Designer 60% -100% (f/m/d),Hitachi Energy AG,"Zurich, Zurich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/eb1e2c55-49fa-4372-bcfd-5e08f956b87d,56,"business development, switzerland, zurich",,role fit; strong keyword match; target location,exclude,missing early-career keyword,career_level,37
2026-06-16,Stress Testing Analyst Intern Management / Consulting Amsterdam,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/management-consulting-positions/stress-testing-analyst-intern/gN2TvH19Jk6JMUAfKMnMS7,55,"amsterdam, analyst, intern, netherlands",,strong keyword match; target location; junior/internship fit,exclude,matched exclusion keyword: analyst,negative_keywords.role_mismatch,37
2026-06-16,Working Student Marketing (m/f/x),CRX Markets AG,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/crx-markets-ag/working-student-marketing-munich-132586,51,"germany, marketing, munich, working student",,target location; junior/internship fit,keep,career-level keyword: working student,career_level,37
